
Begin to print decoded frame status ...
Frame ID: 96; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 97; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 98; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 99; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 100; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 101; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 102; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 103; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 104; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 105; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 106; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 107; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 108; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 109; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 110; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 111; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 112; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 113; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 114; currentDecodedFrame: 0; DecodedFrame: 0
Frame ID: 115; currentDecodedFrame: 0; DecodedFrame: 0
Frame ID: 116; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 117; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 118; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 119; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 120; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 121; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 122; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 123; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 124; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 125; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 126; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 127; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 128; currentDecodedFrame: 0; DecodedFrame: 1
Frame ID: 129; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 130; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 131; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 132; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 133; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 134; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 135; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 136; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 137; currentDecodedFrame: 1; DecodedFrame: 1
